Newspaper Title,Issue Date,Page Number,City,State,PDF Link,prim_long_dec,prim_lat_dec
West Virginia Daily Oil Review,09-03-1898,3,Sistersville,West Virginia,https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_federation_ver01/data/sn86092355/00271767705/1898090301/0049.pdf,-80.9987015,39.5598206
Macon Beacon,12-06-1912,2,Macon,Mississippi,https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_applejack_ver01/data/sn83016943/00295877790/1912120601/0517.pdf,-88.5564476,33.121622
Newark Leader,04-10-1925,3,Newark,Ohio,https://tile.loc.gov/storage-services/service/ndnp/ohi/batch_ohi_lavender_ver01/data/sn88078775/00340580771/1925041001/0386.pdf,-82.4249997,40.0705904
The Daily Alaska Empire,01-14-1929,3,Juneau,Alaska,https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_bowheadwhale_ver01/data/sn83045499/00514159531/1929011401/0097.pdf,-134.2303392,58.4439352
The Alaska Daily Empire,03-22-1926,5,Juneau,Alaska,https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_goshawk_ver01/data/sn84020657/00393342080/1926032201/0555.pdf,-134.2303392,58.4439352
The Houston Daily Post,04-28-1901,29,Houston,Texas,https://tile.loc.gov/storage-services/service/ndnp/txdn/batch_txdn_charlie_ver01/data/sn86071197/00175034997/1901042801/0826.pdf,-95.4226772,31.3177326
Harrisburg Telegraph,05-18-1916,4,Harrisburg,Pennsylvania,https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_fayette_ver01/data/sn85038411/00296028198/1916051801/0780.pdf,-76.8842483,40.2752111
The Minneapolis Journal,03-09-1901,24,Minneapolis,Minnesota,https://tile.loc.gov/storage-services/service/ndnp/mnhi/batch_mnhi_richfield_ver01/data/sn83045366/00206533894/1901030901/0136.pdf,-93.2677982,44.9634959
Mesa Free Press,10-08-1897,2,Mesa,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_boozer_ver01/data/sn95060636/00414216638/1897100801/0161.pdf,-111.7167738,33.4005209
Daily Inter Mountain,10-16-1899,7,Butte,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_jewelwing_ver01/data/sn85053057/00295860261/1899101601/0370.pdf,-112.5323854,45.953351
Bisbee Daily Review,10-25-1903,5,Bisbee,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_ironwood_ver01/data/sn84024827/00211106979/1903102501/0323.pdf,-110.0834923,31.4579213
The Argus,01-29-1898,1,Holbrook,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_acacia_ver01/data/sn94051341/00212476444/1898012901/0154.pdf,-110.3243196,34.9169602
