Unnamed: 0,Newspaper Title,Issue Date,Page Number,City,PDF Link
15,Tonopah Daily Bonanza,03-20-1920,3,"Tonopah, Nevada",https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_beatty_ver02/data/sn86076142/00415627063/1920032001/0277.pdf
16,The Patriot,10-20-1922,7,"Glenmora, Louisiana",https://tile.loc.gov/storage-services/service/ndnp/lu/batch_lu_ivysaur_ver01/data/sn88064299/00295874661/1922102001/0295.pdf
17,The Coconino Sun,02-13-1908,4,"Flagstaff, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_gilamonster_ver01/data/sn87062055/00211106712/1908021301/0013.pdf
18,The Paducah Sun,04-11-1901,2,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901041102/0431.pdf
19,The Paducah Sun,04-04-1901,2,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901040402/0383.pdf
20,The Butte Daily Bulletin,05-19-1919,5,"Butte, Montana",https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_lynx_ver01/data/sn83045085/00212476894/1919051901/0684.pdf
21,The Chickasha Daily Express,10-03-1922,8,"Chickasha, Oklahoma",https://tile.loc.gov/storage-services/service/ndnp/okhi/batch_okhi_icecream_ver01/data/sn86090528/00295864722/1922100301/0226.pdf
22,Tonopah Daily Bonanza,01-06-1909,3,"Tonopah, Nevada",https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_aurora_ver02/data/sn86076142/00415626952/1909010601/0024.pdf
23,Evening Journal,09-04-1918,3,"Wilmington, Delaware",https://tile.loc.gov/storage-services/service/ndnp/deu/batch_deu_hockessin_ver01/data/sn85042354/00383343021/1918090401/0132.pdf
24,Evening Star,03-09-1901,8,"Washington, District Of Columbia",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_japanesechin_ver01/data/sn83045462/00280655399/1901030901/0058.pdf
